timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1769302800,Jan 25 2026 - 1:00am,complete,N/A,Rosario Central,Belgrano,N/A,1,0.00,0.00,1.79,1.80,1,2,3,1,1,0,"45'3","88,89",4,3,2,0,1,0,0,2,1,0,18,13,9,6,9,7,5,9,50,50,0.00,0.00,2.17,1.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.72,3.30,4.80,1.50,2.48,5.00,11.00,2.25,1.60,Estadio 15 de Abril
1769376600,Jan 25 2026 - 9:30pm,complete,N/A,Boca Juniors,Deportivo Riestra,Sebastían Zunino,1,0.00,0.00,1.76,0.69,1,0,1,0,0,0,"77","",12,1,1,0,5,0,0,1,2,3,19,6,3,1,16,5,9,19,79,21,0.00,0.00,1.93,0.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.61,3.60,6.50,1.53,2.91,6.00,11.00,2.64,1.42,Estadio Alberto José Armando
1769385600,Jan 26 2026 - 12:00am,complete,N/A,Tigre,Estudiantes Río Cuarto,Felipe Viola,1,0.00,0.00,1.25,0.31,2,0,2,0,0,0,"53,65","",3,6,3,0,3,0,2,1,0,3,11,9,3,2,8,7,16,9,52,48,0.00,0.00,1.18,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,2.78,4.40,1.54,2.64,6.13,13.00,2.28,1.56,Estadio José Dellagiovanna
1769385600,Jan 26 2026 - 12:00am,complete,N/A,Argentinos Juniors,Sarmiento,Carlos Gariano,1,0.00,0.00,1.89,1.19,1,0,1,0,0,0,"90'7","",9,2,3,0,6,1,2,1,2,5,24,2,11,1,13,1,7,19,70,30,0.00,0.00,2.85,0.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.33,3.80,8.50,1.38,2.20,4.20,8.60,2.28,1.45,Estadio Diego Armando Maradona
1769457600,Jan 26 2026 - 8:00pm,complete,N/A,Platense,Instituto,Bruno Amiconi,2,1.00,0.00,1.00,1.31,2,1,3,1,1,0,"29,75","73",3,2,2,0,2,0,0,2,0,2,10,10,5,5,5,5,12,13,45,55,1.34,1.58,1.32,1.39,0.50,0,0,0,0,0,0,0,0,50,8.00,4.00,2.62,2.65,3.35,1.80,3.60,6.65,17.00,2.70,1.45,Estadio Ciudad de Vicente López
1769546700,Jan 27 2026 - 8:45pm,complete,N/A,Vélez Sarsfield,Talleres Córdoba,Yael Falcón Pérez,2,3.00,3.00,1.65,1.53,2,1,3,1,0,1,"79,52","27",6,7,1,0,3,0,0,1,2,1,10,21,4,8,6,13,8,11,54,46,0.91,1.85,1.31,2.25,2.00,50,50,50,0,0,0,0,50,100,13.00,6.00,2.31,2.90,3.74,1.59,2.72,5.55,10.00,2.24,1.60,Estadio José Amalfitani
1769554800,Jan 27 2026 - 11:00pm,complete,N/A,Huracán,Independiente Rivadavia,Juan Pafundi,2,1.00,3.00,1.39,2.00,1,2,3,1,1,0,"39","65,53",2,5,2,0,4,0,2,0,3,1,9,8,2,6,7,2,14,14,61,39,1.19,1.36,0.91,1.08,2.50,100,100,50,0,0,50,50,50,100,3.00,8.00,2.09,2.70,4.20,1.68,2.89,6.25,15.00,2.40,1.50,Estadio Tomás Adolfo Ducó
1769554800,Jan 27 2026 - 11:00pm,complete,N/A,Gimnasia Mendoza,San Lorenzo,Ariel Penel,2,3.00,0.00,1.19,1.35,0,1,1,0,0,0,"","70",4,4,1,0,2,0,0,1,2,0,13,9,3,1,10,8,11,12,58,42,1.24,1.84,1.21,0.83,3.00,50,50,50,50,50,50,100,50,50,8.00,2.00,2.65,2.69,2.22,1.80,3.12,7.66,15.50,2.50,1.48,N/A
1769562900,Jan 28 2026 - 1:15am,complete,N/A,Atlético Tucumán,Central Córdoba SdE,Carlos Gariano,2,0.00,0.00,0.88,1.00,0,0,0,0,0,0,"","",5,2,3,0,5,0,2,1,2,3,21,3,5,2,16,1,18,13,63,37,1.62,1.86,2.20,0.64,2.00,50,50,50,0,0,50,100,0,50,17.00,3.00,2.20,3.10,3.60,1.43,2.21,4.60,7.20,1.88,1.82,Estadio Monumental Presidente José Fierro
1769562900,Jan 28 2026 - 1:15am,complete,N/A,Newell's Old Boys,Independiente,Daniel Zamora,2,0.00,1.00,0.94,1.41,1,1,2,1,0,1,"89","34",6,3,2,0,4,0,1,1,2,2,12,6,4,2,8,4,13,19,51,49,1.08,1.37,1.53,0.96,2.50,100,100,50,0,0,0,50,50,100,14.00,6.00,2.97,2.66,2.50,1.80,2.61,5.15,13.00,2.15,1.63,Estadio Marcelo Alberto Bielsa
1769630400,Jan 28 2026 - 8:00pm,complete,N/A,Aldosivi,Barracas Central,Luis Lobo Medina,2,1.00,0.00,0.50,1.31,0,0,0,0,0,0,"","",3,1,4,0,0,0,1,3,0,0,8,9,3,3,5,6,16,5,59,41,1.11,1.10,1.28,1.41,0.50,0,0,0,0,0,0,0,0,50,10.00,6.00,2.50,2.75,3.50,1.80,3.15,6.95,11.00,2.49,1.46,Estadio José María Minella
1769637600,Jan 28 2026 - 10:00pm,complete,N/A,Racing Club,Rosario Central,Fernando Echenique,2,0.00,0.00,1.33,1.79,1,2,3,3,1,2,"45'1","35,24",1,2,4,0,4,0,0,4,0,4,21,6,7,3,14,3,16,11,71,29,1.35,2.17,2.42,0.88,3.00,100,100,100,0,0,0,100,100,100,9.00,5.00,2.15,3.10,3.50,1.42,2.19,4.70,8.50,1.95,1.81,Estadio Presidente Juan Domingo Perón
